0.00           ,2.03           
0.00           ,2.03           
0.50           ,2.04           
0.50           ,2.04           
1.00           ,2.05           
1.00           ,2.05           
1.50           ,2.03           
1.50           ,2.03           
2.00           ,2.04           
2.00           ,2.04           
2.50           ,2.06           
2.50           ,2.06           
2.50           ,2.06           
3.25           ,11.54          
3.25           ,11.54          
3.75           ,11.54          
3.75           ,11.54          
4.25           ,11.56          
4.25           ,11.56          
4.75           ,11.55          
5.00           ,11.61          
5.00           ,11.61          
5.50           ,65.53          
5.50           ,65.53          
6.00           ,65.53          
6.00           ,65.53          
6.50           ,65.53          
6.50           ,65.53          
7.00           ,65.53          
7.00           ,65.53          
7.50           ,65.53          
7.75           ,65.53          
7.75           ,65.53          
8.25           ,65.53          
8.25           ,65.53          
8.75           ,65.53          
8.75           ,65.53          
9.25           ,10.40          
9.25           ,10.40          
9.75           ,10.41          
9.75           ,10.41          
10.25          ,10.40          
10.50          ,9.90           
10.50          ,9.90           
11.00          ,9.49           
11.00          ,9.49           
11.50          ,9.34           
11.50          ,9.34           
12.00          ,8.81           
12.00          ,8.81           
12.50          ,8.77           
12.50          ,8.77           
13.00          ,8.74           
13.00          ,8.74           
13.50          ,8.40           
13.50          ,8.40           
14.00          ,8.21           
14.00          ,8.21           
14.50          ,7.93           
14.50          ,7.93           
15.00          ,8.28           
15.25          ,8.28           
15.25          ,8.28           
15.75          ,8.31           
15.75          ,8.31           
16.25          ,7.11           
16.25          ,7.11           
16.75          ,7.01           
16.75          ,7.01           
17.25          ,8.75           
17.25          ,8.75           
17.75          ,6.38           
17.75          ,6.38           
17.75          ,6.38           
18.50          ,6.28           
18.50          ,6.28           
19.00          ,6.17           
19.00          ,6.17           
19.50          ,5.94           
19.75          ,5.94           
19.75          ,5.94           
20.25          ,5.97           
20.25          ,5.97           
20.75          ,5.97           
20.75          ,5.97           
21.25          ,6.00           
21.25          ,6.00           
21.75          ,6.00           
21.75          ,6.00           
22.25          ,6.02           
22.50          ,6.06           
22.50          ,6.06           
23.00          ,6.06           
23.00          ,6.06           
23.50          ,6.09           
23.50          ,6.09           
24.00          ,6.12           
24.00          ,6.12           
24.50          ,6.16           
24.50          ,6.16           
25.00          ,6.22           
25.00          ,6.22           
25.50          ,6.21           
25.50          ,6.21           
26.00          ,8.57           
26.25          ,8.59           
26.25          ,8.59           
26.75          ,8.58           
26.75          ,8.58           
27.25          ,11.76          
27.25          ,11.76          
27.75          ,11.79          
27.75          ,11.79          
28.25          ,7.79           
28.25          ,7.79           
28.75          ,7.76           
28.75          ,7.76           
29.25          ,7.77           
29.25          ,7.77           
29.75          ,7.78           
29.75          ,7.78           
30.25          ,11.07          
30.25          ,11.07          
30.75          ,7.30           
30.75          ,7.30           
31.25          ,7.28           
31.25          ,7.28           
31.75          ,7.33           
31.75          ,7.33           
32.25          ,10.32          
32.25          ,10.32          
32.75          ,10.30          
32.75          ,10.30          
32.75          ,10.30          
33.50          ,13.88          
33.50          ,13.88          
34.00          ,13.97          
34.00          ,13.97          
34.50          ,14.02          
34.50          ,14.02          
35.00          ,12.79          
35.00          ,12.79          
35.50          ,9.54           
35.50          ,9.54           
36.00          ,9.52           
36.00          ,9.52           
36.50          ,14.40          
36.50          ,14.40          
37.00          ,12.09          
37.00          ,12.09          
37.50          ,12.09          
37.50          ,12.09          
38.00          ,14.76          
38.00          ,14.76          
38.50          ,14.78          
38.50          ,14.78          
39.00          ,8.83           
39.25          ,8.80           
39.25          ,8.80           
39.75          ,8.81           
39.75          ,8.81           
40.25          ,11.43          
